id,type,expert_area,source_ref,question,context,status,answer_ref
gap-a1,generate,Ariyana,gap-report#A1,"Walk through the room reset checklist item by item, then pick two common procedures and talk through the tray setup: what always goes on it and what you stage just in case. If visual guides, laminates, or photos already exist, where are they?","The framework references the room reset checklist, per-procedure tray guides, an instrument ID guide, and sterilizer steps (moves 56, 102) but none of that content is in the export. First thing a new assistant asks in week one. Blocks CLIN-17, CLIN-18, RSVD-3, and 5 new-DA questions.",open,
gap-a2,generate,Ariyana,gap-report#A2,"Pretend I am a brand-new assistant: what charting abbreviations and codes do we actually use, what does a good clinical note draft contain, and walk me through the last time someone found a charting mistake after the family left. Who fixed it, how, and where was that recorded?","Missing: Alcan charting conventions, a software walkthrough, the draft-to-signed note workflow, and above all the correction workflow for charting errors found after the visit. Blocks CLIN-19 and CLER-23; everyone eventually mis-charts and nothing says what to do next.",open,
gap-a3,generate,Ariyana,gap-report#A3,"Give three real examples each of: something an RDA just handles chairside, something that always goes quietly to the doctor, and something that goes to the office manager. Then: what would you say if a parent complained to you about the doctor, and how far can an RDA go describing risks of delaying treatment before it becomes the doctor's conversation?","The framework teaches the conversational moves but never says where the RDA's lane ends. This one theme blocks five chapters (CULT-26, CULT-28, CASE-29, CASE-30, CASE-32).",open,
gap-a4,generate,Ariyana,gap-report#A4,"List the Parent Pre-Treatment videos we have, say which procedure each one goes with and where you pull it up, then describe the operatory comfort setup: headsets, what kids can watch, anything off-limits.",Playing the correct video is a scored pro move (127) but nothing says which videos exist. Blocks parts of CLIN-20 and CULT-27. Ten minutes in an operatory with a phone closes this. Related: adj-pre-treatment-video-protocol asks which visit types require the video.,open,
gap-a5,generate,Ariyana + Dr. Alex,gap-report#A5,"For each common procedure (crowns, pulpotomy, sedation visits, SDF, sealants), say out loud exactly what you tell the parent afterward: numbness, eating, what to watch for, when to call. Do printed handouts exist?","Only two aftercare scripts are sourced (filling, extraction). The referenced Aftercare Script document is not in the export. Blocks CLIN-20 and CASE-14; the front desk is also expected to give aftercare from memory (move 49).",open,
gap-a6,generate,Ariyana,gap-report#A6,"Where do the consent forms live in the software and how do you match form to procedure? Then tell the real story of a time the adult at the visit was not on the authorized list: who did you call, and did the appointment happen?",Missing: the procedure-to-consent-form matrix and the day-of workflow when the accompanying adult is not authorized. Dr. Alex already gave the special-consent procedure list (CLER-406); this is the workflow side. Related: adj-authorized-adults-consent covers which written protocol is current.,open,
gap-a7,generate,Ariyana,gap-report#A7,"What does a Lead DA actually do in a week beyond assisting? When you observe someone during a procedure, what are you watching for and where do you write it down? And how do you deliver a correction to someone you work beside all day?","The framework holds exactly one Lead pro move. CLIN-554 is nearly empty without the fuller role definition, observation rubric, and feedback expectations. Also feeds the coaching cascade in the management model.",open,
gap-a8a,generate,Ariyana + Dr. Alex,gap-report#A8,"For each image type we take, what makes an x-ray good enough to keep, and how many retakes are acceptable before you stop?","Small confirmation, batch into any session. Blocks CLIN-18 and one new-DA question.",open,
gap-a8b,generate,Ariyana,gap-report#A8,"Talk through the complete patient status workflow from arrival to checkout so the RDA's two transitions sit in context, and name the preferred doctor-flow channel at each office.",Small confirmation for CLER-22. Related: adj-checkin-procedure covers the front-desk half.,open,
gap-a8c,generate,Ariyana,gap-report#A8,"By procedure, what is an RDA allowed to do in our states and what is doctor-only? Where does a new RDA look this up?",The RDA scope-of-practice breakdown by procedure and state rules is missing. Blocks CLIN-18.,open,
gap-a8d,generate,Ariyana,gap-report#A8,"What is on the high-turnover disposables checklist, what happens after something is flagged low, what do the RDA Uptime tasks contain, and where does the Reschedule list live?",Small confirmations for CLER-21 plus one new-DA question. Also flag: the training resources on move 63 are placeholder links (a YouTube music video and yahoo.com) and should be replaced or retired.,open,
gap-a8e,generate,Ariyana,gap-report#A8,"What counts as an extreme case where we skip the Google review ask, where does the QR code live, and do we ask repeat visitors every time?",Review-ask etiquette confirmation for CULT-25.,open,
gap-a8f,generate,Ariyana,gap-report#A8,"Do the comfort offers (coffee, blanket, headset) apply at every visit type or only procedures?",One-sentence confirmation for CULT-27.,open,
gap-d1,generate,Dr. Alex,gap-report#D1,"For each sedation type (nitrous, oral sedation, GA) and for regular treatment visits: what are the exact NPO cutoffs, what counts as breaking them, and what does the front desk do when a parent says the child already had something this morning?","The single most-referenced missing document in the corpus. The referenced Pre-Op Checklist content is not in the export; one sourced script says only 'no food or drink after midnight.' Blocks 4 chapters and at least 4 questions across 3 roles, and it is safety-critical.",open,
gap-d2,generate,Dr. Alex,gap-report#D2,"Walk through, step by step and by role: a child faints in the chair; then the needlestick drill (first five minutes, who gets told, what gets filed); then the mandated-reporter path for suspected neglect (who does the doctor call, who else needs to know?).","Fills RSVD-4, currently an empty shelf, and answers 6 urgent questions across three banks. Tim can add the facility and incident-report side afterward. Related: adj-exposure-incident-protocol confirms the existing incident report template.",open,
gap-d3,generate,Dr. Alex,gap-report#D3,"Confirm the AAPD dosing table we captured is current and name the one reference document doctors should use chairside. Then: what goes in the med log and when, what is the play when a sedation is failing mid-appointment, where does GA physically happen for us, what exactly counts as treatment time for the 20 and 40 minute boundaries, and say the parental separation policy out loud the way you would say it to a parent.","Blocks parts of CLIN-404, CLER-405, CLER-406, CASE-412, CULT-408. The drafted CLIN-404 quotes mg/kg numbers with a verify-before-use warning that needs to become a verified fact. Related: adj-sedation-drug-logs and adj-bmi-presedation-checklist cover the current forms.",open,
gap-d4,generate,Dr. Alex,gap-report#D4,"When a parent declines x-rays or treatment, what physically gets documented and on what form? How many conversations before it becomes a standards-of-care boundary? And when a family truly is not a fit, what is the transition-out process and who signs off?","The scripts exist and are strong; the paperwork and authority chain behind them are missing. Blocks parts of CLER-406, CULT-410, CLIN-403. Related: adj-radiograph-refusal-policy confirms the 2025 refusal policy is canon.",open,
gap-d5,generate,Dr. Alex,gap-report#D5,"Rapid fire, one-sentence answers are fine: which caries risk tool do we chart and where; what images does a new 4-year-old versus a new 9-year-old get; when is a composite the right call on a baby molar; how do you talk a parent through SDF turning the spot dark; what recall intervals do we use by risk; and name two cost levers you are comfortable with and two you never offer.","The second-question gaps: the framework answers the first question well and the follow-up not at all. Blocks remaining holes in CLIN-402, CLIN-403, CLIN-404, CASE-32, CASE-413, CASE-414.",open,
gap-d6,generate,Dr. Alex,gap-report#D6,Name the AI documentation tool and the x-ray overlay so we stop saying 'the AI system.' What do you do when the note comes back wrong? Is there one blessed exam sequence? What is a 22-point sheet? And give your best two sentences for a parent uneasy about AI reading their kid's x-rays.,"The whole doctor charting model runs through this tool and the corpus cannot currently name it. Confirm the doctor-track AI overlay is OVERJET. Blocks parts of CLIN-401, CLER-406, CULT-408, CASE-15. Note: the 22-point sheet itself is the TMHP Medicaid GA form (see adj-ga-22-point-sheet); what is missing is the explainer.",open,
gap-d7,generate,Dr. Alex,gap-report#D7,"When you change another doctor's treatment plan, do they hear about it and where do you write down why? How do you explain a colleague's reasoning you only half agree with? And when a family leaves saying they will think about it, who owns the follow-up call and when?",Blocks remaining holes in CASE-413 and CASE-414. Matters more every time a second doctor joins a location.,open,
gap-t1,generate,Tim,gap-report#T1,"Screen-record yourself (or a strong OM) doing the Monday routine: pull the Interpreter Report, the missing codes report, and the Same Day Verification report and send it to Medusind, narrating as you click. Then a second recording for VoiceStack: create and assign a To-Do, clear an Opportunities item, sweep voicemail.","The widest gap in the corpus: system how-tos for CareStack, VoiceStack, Iris, Uptime, and the patient portal appear in some form in 14 chapters and 10+ questions. The framework says what to do in these systems on every page and never how. Two recordings unblock more than any other single artifact.",open,
gap-t2,generate,Tim,gap-report#T2,"List every payment option we actually offer and its rules. Then draw the three lines: what can a DFI comp or flex on her own, what can an OM do, and what needs you? Finish with the refund process start to finish, and confirm whether $125 for the limited exam and $30 for fluoride are still right everywhere.","Money moments are where families are lost, and the corpus can teach tone but not substance. Blocks CASE-13, CASE-46, CLER-40, CULT-12, CULT-42, and 7 DFI/OM questions. Related: adj-free-second-opinion holds the 2022 pricing doc under review.",open,
gap-t3,generate,Tim,gap-report#T3,"Answer like you are talking to someone who starts Monday: what time do people arrive, how do you ask for a day off, which holidays are we closed, how do you call in sick (staff, and separately doctors), what do people wear by role, and who does a new hire meet in week one? If any of this exists in a handbook already, point us at it.","The reserved shelves the question banks hammered hardest: about 15 questions land here, including most day-one questions. Blocks RSVD-1, RSVD-2, RSVD-6. Related adjudications: adj-pto-time-off-policy, adj-dress-code, adj-new-hire-onboarding-checklist.",open,
gap-t4,generate,Tim,gap-report#T4,"Walk up the cancellation consequence ladder: first 48-hour cancellation, second, third. What exactly does each level restrict? When does a family get dismissed from the practice, and who approves that? Say it the way a DFI should say it on the phone.","The consequence conversation is a scored move for both DFI and RDA (CULT-10, CULT-25) but nobody can state the actual consequences. The 2022 policy doc and the 2024 scripts disagree; adj-cancellation-late-policy holds the specifics. Also covers proposed shelf RSVD-13 (patient conduct and dismissal).",open,
gap-t5,generate,Tim,gap-report#T5,"With whoever knows our payers best: top three payers, what does each commonly deny? A family arrives and verification never came back, or their Medicaid lapsed: what are their real options today? And for preauths: which system, what documents, and how long before we chase?","The desk is scored on knowing this by memory; the corpus should be where they learn it. Blocks CLIN-4, parts of CLER-5 and CLER-7, CASE-47, and 5 veteran-DFI questions. Also covers the proposed insurance playbook shelf from section 4.",open,
gap-t6,generate,Tim,gap-report#T6,"What are the two weekly Pro Move meetings, who attends each, and how is attendance actually tracked? Where does an OM pull each Monday KPI, and forward one real action-plan email you thought was good. What should an OM watch for in the RDA-to-doctor handoff, and where do they write it down?","Blocks the four thin OM chapters (CLIN-34, CLIN-35, CLER-37, CULT-41) and feeds the program guide shelf (S1) that about 15 NO_HOME questions point at.",open,
gap-t7,generate,Tim,gap-report#T7,"The doctor calls in sick and today is full: walk through the first hour, in order. Two kids double-booked in one slot: who moves and what do we say? And how do we get an interpreter for tomorrow when the Monday report already ran?",The crisis playbook. Blocks parts of CLIN-3 and CLER-7 plus 5 questions. These are exactly the mornings when nobody has time to figure it out from scratch.,open,
gap-t8,generate,Tim,gap-report#T8,"On video at a location, walk the front: show the info board and decode its colors, show the tablets and how the desk suggests a pull order, open the amenity cabinet, show where the music is controlled, and read out the opening and closing checklists if they exist on paper.","Blocks the remaining holes in CLIN-1 (the most gap-dense chapter), CLER-8, CULT-9, CASE-48. All of it is 10 minutes of walking around an office.",open,
gap-t9,generate,Tim,gap-report#T9,"Paste the review-response template and say where DFIs find it. Then: a one-star review names a team member. Who owns the response, what is the policy, and what should the OM say to the team member?",The framework covers only positive reviews. Blocks part of CULT-11 and the proposed RSVD-12 shelf. Related: adj-google-review-response holds the current-tool question.,open,
gap-t10a,generate,Tim,gap-report#T10,"When does something go in a patient memo versus an appointment note, and what should a DFI escalate from desk observations versus just log?",Small confirmation for CLIN-2.,open,
gap-t10b,generate,Tim,gap-report#T10,"Which complaint types does the desk escalate immediately, how are escalations documented, where is the OM complaint log, and what is the threshold for pulling in a regional?",Small confirmation for CULT-12 and CULT-42.,open,
gap-t10c,generate,Tim,gap-report#T10,"Who is the marketing contact, what is the submission channel, what are the weekly content assignments, and what is the photo/video consent policy for posting patients?","Small confirmation for CULT-44, plus community event expectations.",open,
gap-t10d,generate,Tim + Dr. Alex,gap-report#T10,"For each doctor: training, years, and strengths a DFI can say to a parent. And what is the canonical list of our technology with a parent-friendly benefit line for each?",Per-doctor credibility fact sheets and the technology list. Blocks CASE-15 and CASE-31.,open,
gap-t10e,generate,Tim,gap-report#T10,"The OM move says 'estimated family contribution' while DFI and RDA moves say 'patient portion' or 'patient responsibility.' Which phrasing is preferred, or are both fine?",One-sentence canon call for CASE-45. Note the Dec 2025 insurance cheat sheet (adj-insurance-phrasing-scripts) uses 'estimated patient responsibility.',open,
gap-t10f,generate,Tim + Dr. Alex,gap-report#T10,"Where is the specialist referral directory for each location, and what is the send and follow-up workflow for a referral?",Blocks CLIN-404 and CLER-405. Dr. Alex's 2024 referral overview says each office has a cheat sheet in its Basecamp folder; confirm those are current.,open,
gap-t10g,generate,Tim,gap-report#T10,"When treatment expands mid-appointment, how are the new estimate, consent, and payment handled before the family leaves?",Small confirmation for CLIN-404. The GA-day version is documented (Jan 2025 COLLECTING GA PAYMENTS); the non-GA version is not.,open,
gap-t10h,generate,Tim,gap-report#T10,"What charitable care programs do we work with (St. David's Foundation is named as one), how is program status flagged on a patient, and what counts as long distance?",Small confirmation for CLIN-404.,open,
gap-t10i,generate,Tim,gap-report#T10,"Is there an official play-area introduction script, and if so what is it?",Small confirmation for CLER-6.,open,
gap-t10j,generate,Tim,gap-report#T10,"What study materials or onboarding curriculum exist for front desk dental knowledge, and can we get the canonical common-procedures table: names, durations, codes, one-line descriptions?",Blocks CLIN-4. Needs clinical review from Ariyana or Dr. Alex on the procedures table.,open,
gap-s1,generate,John + Tim,gap-report#S1,"Write the program explainer a new hire reads in week one: what a Pro Move is, what the two weekly meetings are, who scores you and where you see scores, whether a manager can change assignments, how to dispute a score, and why this is not busywork.","The largest single finding of the run: about 15 NO_HOME questions are people asking Ask about Ask's own world. John writes the explainer; Tim confirms the operational mechanics (gap-t6). Live-data questions (my moves this week, my scores) need platform tools, not documents.",open,
gap-s2,generate,Tim,gap-report#S2,"For the people-management moments (writing someone up, a termination question, a harassment or discomfort report): who does an OM talk to, in what order, and what does the corpus say versus route to a human?","Proposed RSVD-9 shelf. Hard rule: the corpus routes to humans and never plays HR. The deliverable is the routing map, not HR policy.",open,
gap-s3,generate,Tim + Dr. Alex,gap-report#S3,"Walk through what we do when: a parent wants x-rays emailed, another office requests records, a lawyer requests the chart, custody documents or court orders arrive, and someone wants to film in the operatory.","Proposed RSVD-10 shelf: records release, privacy, and legal requests. Five questions across three banks. Tim owns process; Dr. Alex the clinical-records side. Note adj-radiograph-records-requests covers the routine radiograph-request case.",open,
gap-s7,generate,Tim + Ariyana,gap-report#S7,"For each role, talk through the daily rhythm: what you do first thing, what morning huddle is and who runs it, and what closing looks like.","Proposed RSVD-14 shelf. 'What do I do first thing' and 'what is morning huddle' currently have no home; huddle appears only inside a doctor pro move. The RDA and manager daily checklists (adj-rda-daily-checklist, adj-daily-manager-checklist) supply raw material.",open,
gap-s8,generate,Tim,gap-report#S8,"What are the family-facing practice policies on filming and photos in the operatory, siblings in the room, and chaperones?","Proposed small shelf from section 4. Overlaps the filming item in gap-s3. Note: S4 (payments/collections), S5 (reputation), S6 (dismissal) are covered by gap-t2, gap-t9, gap-t4; the S8 glossary is gap-b14; dress code is adj-dress-code.",open,
gap-b1,generate,Tim + John,gap-report#B1,"In one page: what does Alcan stand for? Mission, values, and the sentence you would want every team member to say when a parent asks why this office is different.",The literal answer to 'what does Alcan stand for.' Check the employee handbook first when John obtains it; write it if the handbook does not carry it.,open,
gap-b2,generate,Tim + Dr. Alex,gap-report#B2,"Tell the founding story out loud: how Kids Tooth Team started, who Tim and Dr. Alex are, and how it grew into the Alcan Dental Cooperative. What moment made you know this should be bigger than one office?",Founder interview capture; only the founders can produce this. Humanizes every answer the bot gives.,open,
gap-b3,generate,John,gap-report#B3,"Write the coaching philosophy page: why staff rate themselves, why scores exist, and why this is growth rather than surveillance, in Alcan's own words.",Adapt brand-brief.md and management-model.md. Grounds 'why do I rate myself' answers in intent.,open,
gap-b4,generate,Dr. Alex + John,gap-report#B4,"What is our promise to families? Curate the posts that show the patient experience standard, and say the standard in two sentences a new hire could repeat.",Curate Dr. Alex's Basecamp posts. Lets policy answers cite the why behind the rule.,open,
gap-b5,generate,John,gap-report#B5,"Write the one-pager on offices and structure: which locations exist, which brand each belongs to, and how organization, group, and location fit together.","Basic orientation, new-hire staple. Source: handbook plus the database.",open,
gap-b6,generate,Tim + John,gap-report#B6,"Who owns what? Name the leadership team and, for each person, the kinds of questions that should land on their desk.",Doubles as the escalation routing map (pairs with gap-s2 and the org chart ask in gap-t3). Needs to be written; nothing exists.,open,
gap-b7,generate,John + Tim,gap-report#B7,"Write the role guide: why the front desk is called Director of First Impressions, and what each role name says about how we see the job.",Role names carry culture. Sources: UK-expansion JDs and the handbook.,open,
gap-b8,generate,John,gap-report#B8,"Rewrite the weekly loop for staff eyes: what the scores are for, what they are never used for, and what a normal week looks like.",The anti-surveillance grounding in Alcan's own words. Staff-voice rewrite of system-overview.,open,
gap-b9,generate,John + Tim,gap-report#B9,"How do we celebrate? Describe glows and grows, Vitals, kudos, the annual meeting, and TOPS with lived specifics.",Curate Basecamp for recognition traditions. Answers 'how do we celebrate' with specifics instead of generalities.,open,
gap-b10,generate,Tim,gap-report#B10,"What is the employee promise? CE support, pay-band transparency, and the career path story, framed as growth.",Handbook is the expected source; check it first when it lands.,open,
gap-b11,generate,Tim,gap-report#B11,"What are the communication norms: what belongs in Basecamp, what belongs in huddle, and where do the important things live?",Powers 'where do I find or post X' answers. Sources: handbook plus Basecamp itself.,open,
