action_id,role_name,domain,competency_name,text,description,resources_url,intervention_text,script,active
1,Front Desk,Cultural,Welcoming Presence,I always stand up and greet every patient and their guardian with a smile,"Stand, smile, make eye contact. That moment says: “We’re glad you’re here.” It costs nothing and changes everything.",,"Standing up commands respect and shows warmth. If your legs are tired, at least lean forward and make direct eye contact. Do not greet the computer screen.",,true
2,Front Desk,Clerical,Patient Record Maintenance,"I always check for a complete medical history and required forms for the visit before changing patient status to either ""Checked In"" OR ""Arrived - No Paperwork",Don’t mark them “checked in” until the forms are done. It protects the clinical team’s time and keeps the visit running clean.,,"A checked box protects a life. Never auto-pilot this. If the form isn't signed, the patient isn't Ready. Hold the line.",,true
3,Front Desk,Clerical,Communication Balancing,I always fully complete the check in process with an offer of hospitality and introduction to the play area before returning to other tasks.,"Greet, welcome, and finish the moment. Hospitality first, multitasking second, it’s how families know they matter here.",,Don't leave them hanging. The Play Area Handoff is the period at the end of the sentence. Practice transitioning from paperwork to welcome today.,“Welcome in! Can I offer you a coffee or water? The play area’s right over there if your little one wants to play while we get started.”,true
4,Front Desk,Clinical,Patient Flow Coordination,"I always actively alert the clinical team that a patient is ready to be pulled back directly after changing patient status to ""Checked In","The second you hit “Checked In,” tell the back. It’s a small habit that keeps patients moving and the day flowing.",,"The baton pass matters. If you click Checked In but don't tell the back, the baton hits the floor. Walk back there or use the chat immediately.",,true
5,Front Desk,Clerical,Welcoming Environment,"I always tidy the reception area, check the patient bathroom, and restock amenities in the front area once every hour.",Keep the front fresh. A quick reset each hour shows pride in your space and helps every family feel like the first one of the day.,,You get used to the mess. Reset your eyes. Walk out the front door and walk back in. What is the first thing you notice? Fix it.,,true
6,Front Desk,Clerical,Strategic Scheduling,"I always examine the schedule two days ahead and first call, then send a personalized text message until all unconfirmed appointments are confirmed.","Two days ahead is the sweet spot. A quick call, then a personalized text, keeps the schedule full and should help you feel some peace of mind.",,"This is the sweet spot. If you are calling day-of, you are already behind. Pull the 2 Days Out list today and make 5 calls.",,true
8,Front Desk,Clinical,Clinical Team Communication,I always review patient memos and appointment notes prior to beginning the check in process,"Read the notes before the hello. You’ll greet each family with context, confidence, and fewer surprises.",,Being able to reference individual situations with grace takes your service up a notch. Check the memo for Anxiety or Billing Issues before you say hello. It prevents awkward surprises and puts you one step ahead.,,true
9,Front Desk,Cultural,Trust Building Interactions,I always ask guardians what their goals are for the visit and enter the answer into appointment notes before booking a new appointment,"Taking time to ask about goals tells families you’re on their side. It’s not just small talk, it’s how trust begins.",,,"“Before we see you, is there anything specific you’d like the doctor to focus on for this visit?”",true
10,Front Desk,Clinical,Daily Schedule Adaptability,"I always dedicate time daily to call and send a personalized text to people on the short call list, prioritizing same-day or next-day open treatment slots.","Fill the day, but keep it personal. A short, genuine call or text makes families feel remembered, not marketed to, and helps more kids get care faster.",,An empty chair is a missed opportunity. Ask the Office Manager to show you exactly how to filter the ASAP List in the software so you aren't guessing who to call.,"Hi Sarah, this is Jessie from Alcan Dental. I noticed Tommy hasn't been scheduled for his fillings yet and we actually had an opening for tomorrow. Just wanted to reach out and see if you'd like to get him scheduled.",true
11,Front Desk,Clinical,Fundamental Dental Knowledge,I am able to name all common procedures and their typical duration from memory,"Know the basics cold. When you can answer confidently, families trust you and scheduling stays accurate and stress-free.",,Confidence comes from knowing the details. Pick one procedure you felt unsure about today and ask a Lead to explain the basic steps to you in 2 minutes.,,true
12,Front Desk,Case Acceptance,Treatment Communication,I always communicate our office's NPO guidelines for all relevant appointments when confirming,"If patient's haven't followed proper NPO guidelines, their appointment could need to be rescheduled. You're their last reminder to get that right.",,"Safety is non-negotiable. If you are fuzzy on the NPO rules, pull up the Pre-Op Checklist right now. Better to double-check than risk a rescheduled surgery.",,true
13,Front Desk,Case Acceptance,Effective Objection Handling,I always communicate the importance of X-rays to our standard of care any time a parent objects or attempts to decline them.,"Parents hesitate because they care. You bridge that moment by calmly explaining that X-rays protect their child’s health, helping them see care, not cost.",,"Parents decline when they don't see value. Practice this line: X-rays let us see what our eyes can't. Ask a Lead to hear you say it to ensure you sound confident, not pushy.","“I understand your concern, but X-rays help the doctor spot things we might otherwise miss, like cavities between teeth, it's part of our standard of care. If you have any specific questions or concerns about that, Dr. Alex will be able to answer all of them”",true
