# Pro-Moves Bulk Upload Template
# Required columns: role_name, competency_name, text
# Optional columns: description, resources_url, active

role_name,competency_name,text,description,resources_url,active
DFI,Effective Objection Handling,"Handle patient concerns professionally","Coach notes here","https://example.com/training",true
DFI,Establishing Credibility,"Build trust with patients","","",true
DFI,Facilitating Smooth Processes,"Ensure seamless patient experience","","",true
DFI,Treatment Communication,"Clearly explain treatment options","","",true
DFI,Communication Balancing,"Balance multiple communication priorities","","",true
DFI,Patient Record Maintenance,"Maintain accurate patient records","","",true
DFI,Strategic Scheduling,"Optimize appointment scheduling","","",true
DFI,Welcoming Environment,"Create a welcoming atmosphere","","",true
DFI,Clinical Team Communication,"Communicate effectively with clinical team","","",true
DFI,Daily Schedule Adaptability,"Adapt to daily schedule changes","","",true
DFI,Fundamental Dental Knowledge,"Apply basic dental knowledge","","",true
DFI,Patient Flow Coordination,"Coordinate patient flow efficiently","","",true
DFI,Empathetic Practice Policy Education,"Educate patients on policies empathetically","","",true
DFI,Handling Critical Feedback,"Receive and act on critical feedback","","",true
DFI,Trust Building Interactions,"Build trust through interactions","","",true
DFI,Welcoming Presence,"Maintain a welcoming presence","","",true
RDA,Clear Treatment Communication,"Communicate treatment clearly to patients","","",true
RDA,Effective Objection Handling,"Address patient objections effectively","","",true
RDA,Empowering Informed Decisions,"Help patients make informed decisions","","",true
RDA,Establishing Credibility,"Establish credibility with patients","","",true
RDA,Clerical Procedure Requirements,"Follow clerical procedures properly","","",true
RDA,Coordinating Patient Flow,"Coordinate efficient patient flow","","",true
RDA,Office Task Management,"Manage office tasks effectively","","",true
RDA,Patient Record Management,"Manage patient records accurately","","",true
RDA,Accurate Charting,"Maintain accurate patient charts","","",true
RDA,Mastery of Dental Procedures,"Demonstrate mastery of dental procedures","","",true
RDA,Patient Comfort and Communication During Procedures,"Ensure patient comfort during procedures","","",true
RDA,Sterilization and Procedure Preparation,"Properly sterilize and prepare for procedures","","",true
RDA,Demonstrating Emotional Intelligence,"Show emotional intelligence in interactions","","",true
RDA,Empathetic Practice Policy Education,"Educate patients on policies with empathy","","",true
RDA,Handling Constructive Feedback,"Accept and use constructive feedback","","",true
RDA,Trust Building Interactions,"Build trust through patient interactions","","",true
